Latitude,Longitude,Min. Depth,Temp. Gradient
48.0508,-89.25,219,45
48.1681,-88.8508,265,43
48.2517,-88.6344,223,45
48.0517,-88.1181,247,47
48.2017,-88.1336,232,39
48.5853,-87.5025,201,45
48.1681,-87.2,210,53
48.6,-87.1,229,30
48.65,-86.8344,192,50
48.2681,-86.7181,265,38
48.1344,-86.45,256,32
48.0681,-86.3525,253,45
47.2853,-85.3836,210,57
47.3517,-85.0844,219,45
47.1844,-85.1008,219,58
47.1,-85.7517,265,57
47.2,-86.5525,366,66
47.7856,-86.1833,210,37
47.7175,-86.65,265,60
47.8175,-87,241,53
47.1169,-91.4008,238,45
46.9519,-91.6186,210,46
34.7333,-86.5,40,10
33.9519,-87.9167,20,11
33.9333,-85.8333,100,7
33.3,-87.2667,6,16
33.2667,-86.0167,420,14
33.2667,-86.25,60,11
32.8333,-87.8842,20,10
32.6192,-86.0183,20,7
32.1336,-85.6692,80,23
31.3683,-85.5689,40,10
31,-88.25,60,25
68.1167,-165.2667,15,20
68.1,-165.8333,150,20
57.0847,-134.8,137,49
55.6169,-132.5844,128,15
55.4011,-130.4686,701,30
55.1522,-131.7689,58,21
55.0667,-132.1356,108,17
54.7833,-132.05,121,20
51.4833,-180.9181,61,27
36.9667,-109.15,1280,25
36.95,-111.4833,60,13
36.8833,-109.2833,1372,27
36.6356,-110.1669,50,18
36.6003,-110.8022,60,14
36.6,-110.15,180,19
36.0844,-110.2011,60,23
36.0347,-110.5181,185,15
36.0333,-110.5167,170,24
35.7522,-111.3683,30,3
35.7167,-114.3667,220,39
35.6506,-112.1342,61,13
35.5672,-111.4686,61,5
35.5181,-112.1522,61,8
35.5,-110.4,90,22
35.3669,-111.5683,61,6
35.3669,-114.1336,300,24
35.3506,-114.1358,80,20
35.3344,-111.7192,61,31
35.2006,-111.4517,61,10
35.1333,-113.8167,160,26
35.1172,-111.5853,37,2
35.1167,-109.35,100,58
35.1,-109.4333,120,51
35.0019,-111.2842,122,7
34.9833,-109.15,1220,19
34.9192,-111.8178,290,12
34.885,-111.8342,300,14
34.8672,-111.4019,91,3
34.7503,-112.0692,340,18
34.6689,-114.3511,122,28
34.6347,-113.6833,210,28
34.6347,-113.6836,170,28
34.6347,-113.9683,244,39
34.5847,-113.1847,200,22
34.5667,-109.3167,15,21
34.5344,-110.9181,46,8
34.4514,-112.2,60,20
34.4342,-112.4858,250,28
34.4336,-112.5006,80,29
34.3503,-114.1669,91,26
34.3336,-109.2669,5,18
34.3,-109.3844,50,13
34.2833,-113.935,274,34
34.1525,-112.8003,40,34
34.1511,-113.1683,244,35
34.1189,-112.8514,122,32
34.0347,-112.3503,120,50
34.0347,-111.3347,120,50
34.0008,-113.2169,122,37
33.6333,-114.3333,130,32
33.5333,-112.3333,107,50
33.4181,-114.4672,91,34
33.4167,-110.9514,150,25
